TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA
677,1,C,HOGAR,110.81,13,0,25.68325,-100.23067,PARADA TÉCNICA,UT_DENSIDAD
834,1,C,HOGAR,101.33,13,0,25.70647,-100.22508,HOGAR REUNIÓN,UT_DENSIDAD
792,1,C,PEATONAL,87.25,0,0,25.67762,-100.25978,OFICINISTAS,UT_TRAFICO_PEATONAL
164,1,CD,BASE,18.72,12,9,25.73369,-100.19908,HOGAR REUNIÓN,UT_GAS_URBANA
231,1,CD,HOGAR,116.5,13,9,25.70295,-100.25852,HOGAR REUNIÓN,UT_GAS_URBANA
823,1,C,HOGAR,108.66,0,0,25.66404,-100.23363,HOGAR REUNIÓN,UT_DENSIDAD
824,1,C,HOGAR,97.92,0,0,25.7371,-100.16613,HOGAR REUNIÓN,UT_DENSIDAD
182,1,BC,HOGAR,111.9,13,5,25.68312,-100.2139,HOGAR REUNIÓN,UT_DENSIDAD
223,1,BC,HOGAR,128.96,12,9,25.66976,-100.23605,HOGAR REUNIÓN,UT_GAS_URBANA
828,1,C,HOGAR,0.0,0,0,25.6678,-100.2209,HOGAR REUNIÓN,UT_DENSIDAD
832,1,C,HOGAR,66.04,0,0,25.66925,-100.237,HOGAR REUNIÓN,UT_DENSIDAD
245,1,D,HOGAR,116.0,10,8,25.73065,-100.18657,HOGAR REUNIÓN,UT_DENSIDAD
188,1,BC,RECESO,95.3,13,7,25.68763,-100.24615,PARADA TÉCNICA,UT_GAS_URBANA
191,1,CD,RECESO,131.5,11,0,25.69273,-100.24576,CLÁSICO,UT_GAS_URBANA
847,1,C,HOGAR,100.4,13,0,25.71567,-100.1601,HOGAR REUNIÓN,UT_GAS_URBANA
193,1,CD,HOGAR,95.54,10,9,25.73871,-100.18913,HOGAR REUNIÓN,UT_DENSIDAD
212,1,CD,BASE,134.24,12,10,25.69344,-100.1831,PARADA TÉCNICA,UT_CARRETERA_GAS
211,1,C,HOGAR,127.62,12,11,25.74447,-100.17476,HOGAR REUNIÓN,UT_DENSIDAD
199,1,CD,BASE,113.0,11,11,25.72332,-100.19058,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
873,1,C,RECESO,58.12,0,0,25.69741,-100.13975,PARADA TÉCNICA,UT_TRAFICO_VEHICULAR
254,1,C,HOGAR,113.0,12,7,25.66872,-100.2344,HOGAR REUNIÓN,UT_GAS_URBANA
735,1,C,HOGAR,83.57,12,0,25.71611,-100.18296,HOGAR REUNIÓN,UT_DENSIDAD
746,1,C,HOGAR,104.1,15,0,25.6867,-100.19352,HOGAR REUNIÓN,UT_DENSIDAD
141,1,BC,HOGAR,98.5,11,6,25.68098,-100.23912,HOGAR REUNIÓN,UT_DENSIDAD
259,1,C,BASE,99.08,10,0,25.67765,-100.2596,OFICINISTAS,UT_TRAFICO_PEATONAL
753,1,C,HOGAR,103.64,14,0,25.72788,-100.18008,HOGAR REUNIÓN,UT_DENSIDAD
754,1,C,HOGAR,119.75,15,0,25.71732,-100.19217,HOGAR REUNIÓN,UT_DENSIDAD
145,1,BC,HOGAR,112.5,13,6,25.66404,-100.21449,HOGAR REUNIÓN,UT_DENSIDAD
765,1,C,HOGAR,94.42,13,0,25.69325,-100.23738,OFICINISTAS,UT_DENSIDAD
766,1,C,BASE,118.52,15,0,25.72372,-100.14054,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
395,1,C,HOGAR,79.55,10,4,25.67661,-100.24879,HOGAR REUNIÓN,UT_DENSIDAD
253,1,C,HOGAR,117.0,12,11,25.72968,-100.17269,HOGAR REUNIÓN,UT_DENSIDAD
769,1,C,BASE,108.8,15,0,25.69461,-100.17078,OFICINISTAS,UT_TRAFICO_VEHICULAR
152,1,BC,HOGAR,102.1,13,8,25.66861,-100.24023,HOGAR REUNIÓN,UT_DENSIDAD
783,1,C,HOGAR,114.47,14,0,25.6989,-100.1506,HOGAR REUNIÓN,UT_DENSIDAD
789,1,C,HOGAR,100.7,0,0,25.71404,-100.17443,HOGAR REUNIÓN,UT_DENSIDAD
248,1,CD,BASE,100.28,13,7,25.70751,-100.19946,OFICINISTAS,UT_GAS_URBANA
156,1,BC,HOGAR,115.0,11,0,25.67567,-100.22221,HOGAR REUNIÓN,UT_DENSIDAD
247,1,D,HOGAR,104.6,13,10,25.69494,-100.21911,HOGAR REUNIÓN,UT_DENSIDAD
474,1,C,HOGAR,115.79,13,11,25.71698,-100.13154,HOGAR REUNIÓN,UT_DENSIDAD
453,1,C,BASE,107.02,13,8,25.74442,-100.16092,HOGAR REUNIÓN,UT_GAS_URBANA
455,1,C,HOGAR,119.51,13,7,25.73055,-100.18982,HOGAR REUNIÓN,UT_DENSIDAD
366,1,C,HOGAR,100.0,10,7,25.66606,-100.26935,HOGAR REUNIÓN,UT_GAS_URBANA
365,1,C,BASE,97.54,13,5,25.6751,-100.21091,OFICINISTAS,UT_TRAFICO_PEATONAL
456,1,C,HOGAR,127.9,13,10,25.74066,-100.1661,HOGAR REUNIÓN,UT_DENSIDAD
457,1,C,HOGAR,81.3,10,7,25.73088,-100.15723,HOGAR REUNIÓN,UT_DENSIDAD
458,1,C,HOGAR,101.46,13,5,25.70524,-100.20732,HOGAR REUNIÓN,UT_DENSIDAD
361,1,C,HOGAR,93.0,12,5,25.71936,-100.16773,HOGAR REUNIÓN,UT_DENSIDAD
464,1,C,HOGAR,138.92,13,6,25.70318,-100.24274,HOGAR REUNIÓN,UT_DENSIDAD
358,1,C,BASE,93.0,10,11,25.70128,-100.16365,HOGAR REUNIÓN,UT_GAS_URBANA
447,1,C,HOGAR,83.9,13,5,25.73034,-100.16336,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
356,1,C,HOGAR,77.0,10,8,25.66098,-100.26814,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
355,1,C,HOGAR,90.0,10,6,25.66743,-100.25439,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
484,1,C,HOGAR,115.75,13,10,25.71093,-100.13501,HOGAR REUNIÓN,UT_DENSIDAD
493,1,C,BASE,119.41,13,9,25.68103,-100.25271,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
352,1,C,BASE,105.0,10,8,25.74532,-100.17814,PARADA TÉCNICA,UT_GAS_URBANA
351,1,C,BASE,93.0,10,7,25.67929,-100.26519,OFICINISTAS,UT_GAS_URBANA
495,1,C,BASE,115.7,13,11,25.66923,-100.23264,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
503,1,C,HOGAR,81.59,11,8,25.67292,-100.25155,HOGAR REUNIÓN,UT_DENSIDAD
348,1,C,HOGAR,100.0,10,11,25.69414,-100.1901,HOGAR REUNIÓN,UT_DENSIDAD
506,1,C,HOGAR,105.66,13,8,25.70051,-100.18745,HOGAR REUNIÓN,UT_DENSIDAD
401,1,C,HOGAR,92.52,12,9,25.71205,-100.16304,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
389,1,BC,BASE,98.08,12,9,25.74648,-100.19411,HOGAR REUNIÓN,UT_GAS_URBANA
402,1,C,HOGAR,103.27,13,9,25.72369,-100.16661,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
404,1,C,BASE,112.87,13,9,25.67993,-100.25752,OFICINISTAS,UT_DENSIDAD
406,1,C,HOGAR,76.69,10,5,25.6645,-100.26545,CLÁSICO,UT_DENSIDAD
407,1,C,BASE,118.47,13,7,25.73733,-100.20671,OFICINISTAS,UT_GAS_URBANA
409,1,C,HOGAR,95.68,13,7,25.66723,-100.22505,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
411,1,C,HOGAR,109.85,13,9,25.70931,-100.1846,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
417,1,C,BASE,95.22,12,8,25.66245,-100.23941,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
423,1,C,BASE,85.18,12,6,25.6728,-100.23769,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
635,1,C,BASE,120.27,14,0,25.6638,-100.25769,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
425,1,C,HOGAR,116.15,13,7,25.73241,-100.17578,HOGAR REUNIÓN,UT_DENSIDAD
427,1,C,HOGAR,122.63,13,9,25.73371,-100.18386,HOGAR REUNIÓN,UT_DENSIDAD
431,1,C,HOGAR,119.24,13,8,25.66744,-100.2239,HOGAR REUNIÓN,UT_DENSIDAD
433,1,C,BASE,127.4,13,10,25.70933,-100.23586,HOGAR REUNIÓN,UT_DENSIDAD
438,1,C,HOGAR,117.61,13,7,25.69605,-100.21036,HOGAR REUNIÓN,UT_DENSIDAD
374,1,C,BASE,107.92,13,11,25.72258,-100.14044,HOGAR REUNIÓN,UT_CARRETERA_GAS
439,1,C,HOGAR,115.55,13,0,25.71549,-100.20702,HOGAR REUNIÓN,UT_DENSIDAD
372,1,CD,HOGAR,80.56,12,11,25.65999,-100.23217,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
441,1,CD,HOGAR,111.48,13,8,25.72353,-100.17124,HOGAR REUNIÓN,UT_DENSIDAD
446,1,C,HOGAR,126.8,13,9,25.68774,-100.18129,HOGAR REUNIÓN,UT_DENSIDAD
612,1,C,HOGAR,101.06,12,0,25.74353,-100.17685,HOGAR REUNIÓN,UT_DENSIDAD
587,1,C,HOGAR,91.25,13,0,25.72789,-100.1931,HOGAR REUNIÓN,UT_DENSIDAD
346,1,C,HOGAR,90.0,10,4,25.74205,-100.19846,HOGAR REUNIÓN,UT_DENSIDAD
322,1,C,BASE,100.0,10,9,25.65836,-100.22371,HOGAR REUNIÓN,UT_DENSIDAD
321,1,C,HOGAR,102.0,10,9,25.70853,-100.15266,HOGAR REUNIÓN,UT_DENSIDAD
591,1,C,HOGAR,86.41,13,0,25.65561,-100.22113,HOGAR REUNIÓN,UT_DENSIDAD
302,1,CD,BASE,130.0,13,13,25.67635,-100.26692,HOGAR REUNIÓN,UT_TRAFICO_PEATONAL
633,1,C,HOGAR,103.05,12,0,25.72512,-100.18482,HOGAR REUNIÓN,UT_DENSIDAD
616,1,C,HOGAR,96.93,12,0,25.70758,-100.16037,HOGAR REUNIÓN,UT_DENSIDAD
306,1,C,BASE,182.0,13,4,25.67946,-100.2584,OFICINISTAS,UT_DENSIDAD
307,1,C,HOGAR,114.0,13,9,25.66859,-100.26665,HOGAR REUNIÓN,UT_DENSIDAD
593,1,C,HOGAR,111.14,13,0,25.74583,-100.16589,HOGAR REUNIÓN,UT_DENSIDAD
509,1,C,BASE,115.72,13,7,25.66655,-100.21398,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
611,1,C,BASE,115.66,13,0,25.68666,-100.23036,BARRIO COMPETIDO,UT_DENSIDAD
318,1,C,HOGAR,107.0,10,8,25.74066,-100.16799,HOGAR REUNIÓN,UT_DENSIDAD
317,1,C,HOGAR,104.0,13,11,25.66909,-100.26294,HOGAR REUNIÓN,UT_DENSIDAD
594,1,C,HOGAR,98.07,13,0,25.72671,-100.17316,HOGAR REUNIÓN,UT_DENSIDAD
315,1,BC,HOGAR,93.0,10,7,25.65235,-100.26606,CLÁSICO,UT_DENSIDAD
314,1,C,BASE,107.0,13,13,25.67509,-100.26958,HOGAR REUNIÓN,UT_DENSIDAD
597,1,C,HOGAR,110.73,14,0,25.6714,-100.21653,HOGAR REUNIÓN,UT_DENSIDAD
598,1,C,HOGAR,96.69,12,0,25.68012,-100.22238,HOGAR REUNIÓN,UT_DENSIDAD
599,1,C,HOGAR,114.63,13,6,25.67213,-100.23018,HOGAR REUNIÓN,UT_DENSIDAD
585,1,C,HOGAR,112.9,12,0,25.66144,-100.21849,HOGAR REUNIÓN,UT_DENSIDAD
519,1,C,BASE,115.03,13,6,25.68449,-100.2262,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
536,1,C,HOGAR,114.87,13,10,25.6581,-100.22496,HOGAR REUNIÓN,UT_DENSIDAD
541,1,C,HOGAR,109.97,13,7,25.70214,-100.25043,HOGAR REUNIÓN,UT_DENSIDAD
557,1,C,HOGAR,84.08,12,4,25.6704,-100.21162,HOGAR REUNIÓN,UT_DENSIDAD
559,1,C,HOGAR,92.18,13,8,25.72444,-100.15672,HOGAR REUNIÓN,UT_DENSIDAD
562,1,C,HOGAR,104.62,13,0,25.69635,-100.20652,HOGAR REUNIÓN,UT_DENSIDAD
564,1,C,HOGAR,115.51,13,0,25.68658,-100.21385,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
571,1,C,HOGAR,112.89,13,0,25.74155,-100.18463,HOGAR REUNIÓN,UT_DENSIDAD
332,1,B,RECESO,136.0,13,6,25.69665,-100.14323,OFICINISTAS,UT_DENSIDAD
324,1,C,HOGAR,97.0,13,5,25.69969,-100.21334,HOGAR REUNIÓN,UT_DENSIDAD
582,1,C,HOGAR,120.33,11,0,25.69596,-100.18514,HOGAR REUNIÓN,UT_DENSIDAD
583,1,C,HOGAR,113.5,13,0,25.66215,-100.22198,HOGAR REUNIÓN,UT_DENSIDAD
329,1,C,RECESO,71.0,13,5,25.70334,-100.239,OFICINISTAS,UT_GAS_URBANA
575,1,C,HOGAR,99.73,13,4,25.6737,-100.27038,HOGAR REUNIÓN,UT_DENSIDAD
326,1,B,HOGAR,118.0,12,4,25.7292,-100.17807,HOGAR REUNIÓN,UT_DENSIDAD
328,1,C,RECESO,116.0,10,6,25.69583,-100.23188,OFICINISTAS,UT_GAS_URBANA
327,1,C,HOGAR,98.0,10,9,25.67151,-100.25856,HOGAR REUNIÓN,UT_DENSIDAD
878,2,C,HOGAR,111.7,12,10,26.03851,-98.35729,HOGAR REUNIÓN,UT_DENSIDAD
856,2,C,RECESO,0.0,0,0,26.04652,-98.38172,PARADA TÉCNICA,UT_TRAFICO_VEHICULAR
855,2,B,BASE,0.0,0,0,26.04971,-98.31442,CLÁSICO,UT_TRAFICO_VEHICULAR
854,2,C,HOGAR,0.0,0,0,26.04082,-98.31979,HOGAR REUNIÓN,UT_DENSIDAD
848,2,C,HOGAR,0.0,0,0,26.09732,-98.29138,HOGAR REUNIÓN,UT_DENSIDAD
851,2,C,HOGAR,0.0,0,0,26.06185,-98.32044,CLÁSICO,UT_DENSIDAD
853,2,C,HOGAR,0.0,0,0,25.97227,-98.29033,HOGAR REUNIÓN,UT_DENSIDAD
798,2,C,HOGAR,0.0,0,0,25.99222,-98.09663,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
802,2,C,BASE,0.0,0,0,25.9898,-98.1002,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
803,2,C,BASE,0.0,0,0,25.9872,-98.1074,OFICINISTAS,UT_TRAFICO_VEHICULAR
805,2,C,HOGAR,0.0,0,0,26.0835,-98.33,HOGAR REUNIÓN,UT_DENSIDAD
806,2,B,BASE,0.0,0,0,26.069,-98.2719,CLÁSICO,UT_TRAFICO_VEHICULAR
807,2,B,HOGAR,0.0,0,0,26.07896,-98.33792,HOGAR REUNIÓN,UT_DENSIDAD
808,2,C,BASE,0.0,0,0,26.02103,-98.27533,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
809,2,C,HOGAR,0.0,0,0,26.03188,-98.34141,HOGAR REUNIÓN,UT_DENSIDAD
839,2,C,PEATONAL,0.0,0,0,26.08506,-98.27164,OFICINISTAS,UT_TRAFICO_PEATONAL
811,2,B,HOGAR,0.0,0,0,26.0562,-98.3151,CLÁSICO,UT_DENSIDAD
813,2,C,HOGAR,0.0,0,0,25.992,-98.114,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
816,2,B,HOGAR,0.0,0,0,26.09528,-98.28297,HOGAR REUNIÓN,UT_DENSIDAD
817,2,C,RECESO,0.0,0,0,26.08866,-98.27988,OFICINISTAS,UT_TRAFICO_PEATONAL
819,2,C,BASE,0.0,0,0,26.0669,-98.39358,HOGAR REUNIÓN,UT_DENSIDAD
822,2,C,BASE,0.0,0,0,25.98347,-98.11129,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
835,2,C,HOGAR,0.0,0,0,26.01647,-98.25479,HOGAR REUNIÓN,UT_DENSIDAD
999,2,C,RECESO,102.75,11,4,26.02147,-98.28373,BARRIO COMPETIDO,UT_TRAFICO_PEATONAL
988,2,C,HOGAR,101.82,12,10,26.03533,-98.29644,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
989,2,C,HOGAR,101.82,12,10,26.0434,-98.32001,HOGAR REUNIÓN,UT_DENSIDAD
991,2,C,HOGAR,116.98,13,10,26.01263,-98.24741,BARRIO COMPETIDO,UT_GAS_URBANA
992,2,C,BASE,100.41,12,10,26.10101,-98.31804,HOGAR REUNIÓN,UT_GAS_URBANA
993,2,B,HOGAR,113.73,12,10,26.06883,-98.3598,HOGAR REUNIÓN,UT_DENSIDAD
994,2,C,HOGAR,113.73,12,7,26.08696,-98.33805,HOGAR REUNIÓN,UT_DENSIDAD
995,2,C,BASE,106.6,12,10,26.03482,-98.40996,HOGAR REUNIÓN,UT_GAS_URBANA
996,2,C,HOGAR,107.85,12,7,25.98884,-98.27356,HOGAR REUNIÓN,UT_DENSIDAD
997,2,C,HOGAR,101.82,12,11,25.99333,-98.27173,HOGAR REUNIÓN,UT_DENSIDAD
998,2,AB,HOGAR,107.85,12,12,26.07585,-98.26928,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
987,2,C,HOGAR,110.0,10,12,26.06031,-98.32753,HOGAR REUNIÓN,UT_DENSIDAD
1001,2,C,HOGAR,101.82,12,10,26.01288,-98.26235,HOGAR REUNIÓN,UT_DENSIDAD
1002,2,C,HOGAR,116.9,10,11,26.0228,-98.28886,HOGAR REUNIÓN,UT_DENSIDAD
1003,2,C,HOGAR,112.0,12,8,25.9956,-98.2471,HOGAR REUNIÓN,UT_DENSIDAD
1004,2,C,HOGAR,93.52,12,9,26.09947,-98.32143,HOGAR REUNIÓN,UT_DENSIDAD
1005,2,C,HOGAR,98.2,12,5,26.06356,-98.31124,HOGAR REUNIÓN,UT_DENSIDAD
1006,2,C,HOGAR,116.9,13,14,26.02128,-98.25349,HOGAR REUNIÓN,UT_DENSIDAD
1007,2,C,HOGAR,114.41,12,10,25.98434,-98.20065,HOGAR REUNIÓN,UT_DENSIDAD
1008,2,C,HOGAR,98.8,12,10,26.08637,-98.32248,HOGAR REUNIÓN,UT_DENSIDAD
1009,2,C,HOGAR,103.4,12,5,26.0701,-98.30796,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
976,2,C,HOGAR,113.0,10,10,26.0948,-98.30479,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
965,2,B,HOGAR,98.0,10,10,25.98342,-98.10511,HOGAR REUNIÓN,UT_DENSIDAD
966,2,C,HOGAR,112.0,10,10,26.02126,-98.27927,HOGAR REUNIÓN,UT_DENSIDAD
967,2,C,HOGAR,129.0,10,12,26.00751,-98.24571,HOGAR REUNIÓN,UT_DENSIDAD
968,2,B,HOGAR,129.0,9,6,26.02023,-98.22689,PARADA TÉCNICA,UT_GAS_URBANA
969,2,C,RECESO,125.0,10,13,26.07305,-98.2914,CLÁSICO,UT_DENSIDAD
971,2,C,HOGAR,123.0,11,12,26.0366,-98.34031,HOGAR REUNIÓN,UT_DENSIDAD
972,2,C,RECESO,121.0,10,10,26.07018,-98.30235,HOGAR REUNIÓN,UT_GAS_URBANA
973,2,C,BASE,122.0,10,10,26.04916,-98.38596,PARADA TÉCNICA,UT_GAS_URBANA
974,2,C,HOGAR,113.0,11,12,26.04235,-98.37229,HOGAR REUNIÓN,UT_DENSIDAD
975,2,C,HOGAR,129.0,10,12,26.0282,-98.28279,HOGAR REUNIÓN,UT_DENSIDAD
1011,2,C,HOGAR,112.0,12,11,26.08553,-98.33515,HOGAR REUNIÓN,UT_GAS_URBANA
977,2,C,RECESO,125.0,10,12,26.03871,-98.28171,PARADA TÉCNICA,UT_GAS_URBANA
978,2,BC,RECESO,102.98,11,9,26.08548,-98.29332,PARADA TÉCNICA,UT_GAS_URBANA
979,2,BC,HOGAR,115.67,12,10,25.98337,-98.08285,HOGAR REUNIÓN,UT_GAS_URBANA
981,2,C,HOGAR,121.0,10,10,26.05409,-98.35069,HOGAR REUNIÓN,UT_DENSIDAD
982,2,B,HOGAR,100.0,10,6,26.06513,-98.31539,HOGAR REUNIÓN,UT_DENSIDAD
983,2,C,HOGAR,117.0,11,12,25.99992,-98.25808,HOGAR REUNIÓN,UT_DENSIDAD
984,2,C,HOGAR,116.0,10,8,26.06213,-98.33027,HOGAR REUNIÓN,UT_GAS_URBANA
985,2,C,HOGAR,129.0,11,10,26.02486,-98.24565,PARADA TÉCNICA,UT_DENSIDAD
986,2,C,HOGAR,101.82,12,10,26.01805,-98.26513,HOGAR REUNIÓN,UT_DENSIDAD
1046,2,C,HOGAR,0.0,0,0,26.09036,-98.28066,OFICINISTAS,UT_TRAFICO_VEHICULAR
1035,2,C,HOGAR,123.69,0,11,26.01175,-98.28564,HOGAR REUNIÓN,UT_DENSIDAD
1036,2,C,HOGAR,119.65,0,8,26.09085,-98.324,HOGAR REUNIÓN,UT_DENSIDAD
1037,2,C,HOGAR,121.67,0,11,25.96746,-98.25733,HOGAR REUNIÓN,UT_DENSIDAD
1038,2,C,HOGAR,132.73,0,11,26.05081,-98.40391,BARRIO COMPETIDO,UT_DENSIDAD
1039,2,BC,HOGAR,114.3,0,7,26.05491,-98.31887,HOGAR REUNIÓN,UT_GAS_URBANA
1041,2,B,HOGAR,0.0,0,0,25.98343,-98.09802,HOGAR REUNIÓN,UT_DENSIDAD
1042,2,C,HOGAR,0.0,0,0,25.9756,-98.05814,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
1043,2,C,HOGAR,0.0,0,0,26.05884,-98.34364,HOGAR REUNIÓN,UT_TRAFICO_PEATONAL
1044,2,C,BASE,0.0,0,0,25.98861,-98.12478,PARADA TÉCNICA,UT_DENSIDAD
1045,2,C,HOGAR,0.0,0,0,25.98755,-98.05539,HOGAR REUNIÓN,UT_DENSIDAD
1034,2,B,HOGAR,132.73,0,12,26.0852,-98.37643,HOGAR REUNIÓN,UT_DENSIDAD
1047,2,C,HOGAR,0.0,0,0,26.07928,-98.29009,CLÁSICO,UT_DENSIDAD
1048,2,C,HOGAR,0.0,0,0,26.03145,-98.38466,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
1049,2,C,HOGAR,0.0,0,0,26.00607,-98.12218,HOGAR REUNIÓN,UT_DENSIDAD
1051,2,C,HOGAR,0.0,0,0,26.03374,-98.29404,HOGAR REUNIÓN,UT_DENSIDAD
1052,2,B,BASE,0.0,0,0,26.06517,-98.3448,PARADA TÉCNICA,UT_DENSIDAD
